,Unnamed: 0,lat,lng,datetime,uid,date,time,tile_ID,year,month,day,hour,newTime,time_hour,day_of_week,day_name,value
7,7,39.906257,116.382276,2008-10-26 13:59:00,0,26/10/2008,2021-09-18 13:59:57,77,2008,10,26,13,2008-10-26 13:00:00,13:00:00,6,Weekend,1
8,8,39.888766,116.387035,2008-10-26 14:43:00,0,26/10/2008,2021-09-18 14:43:22,77,2008,10,26,14,2008-10-26 14:00:00,14:00:00,6,Weekend,1
9,9,39.921752,116.314912,2008-10-26 14:59:00,0,26/10/2008,2021-09-18 14:59:57,62,2008,10,26,14,2008-10-26 14:00:00,14:00:00,6,Weekend,1
10,10,39.926426,116.320399,2008-10-26 15:04:00,0,26/10/2008,2021-09-18 15:04:07,62,2008,10,26,15,2008-10-26 15:00:00,15:00:00,6,Weekend,1
11,11,39.999545,116.324734,2008-10-27 11:59:00,0,27/10/2008,2021-09-18 11:59:49,63,2008,10,27,11,2008-10-27 11:00:00,11:00:00,0,Weekend,1
12,12,40.008796,116.321834,2008-10-27 12:05:00,0,27/10/2008,2021-09-18 12:05:54,63,2008,10,27,12,2008-10-27 12:00:00,12:00:00,0,Weekend,1
18,18,39.996785,116.326341,2008-03-11 10:16:00,0,03/11/2008,2021-09-18 10:16:01,63,2008,11,3,10,2008-03-11 10:00:00,10:00:00,0,Weekend,1
19,19,40.007228,116.301505,2008-03-11 23:59:00,0,03/11/2008,2021-09-18 23:59:58,63,2008,11,3,23,2008-03-11 23:00:00,23:00:00,0,Weekend,1
24,24,39.9741,116.332416,2008-10-11 01:52:00,0,10/11/2008,2021-09-18 01:52:22,63,2008,11,10,1,2008-10-11 01:00:00,01:00:00,0,Weekend,1
25,25,39.997979,116.327042,2008-10-11 03:46:00,0,10/11/2008,2021-09-18 03:46:12,63,2008,11,10,3,2008-10-11 03:00:00,03:00:00,0,Weekend,1
